GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037113425,Census Tract 1134.25; Los Angeles County; California,1075,303,0,546,0,1785,545
1400000U,6037113426,Census Tract 1134.26; Los Angeles County; California,682,28,0,472,0,595,525
1400000U,6037113427,Census Tract 1134.27; Los Angeles County; California,590,185,5,371,0,1071,164
1400000U,6037113428,Census Tract 1134.28; Los Angeles County; California,2265,62,0,628,0,729,436
1400000U,6037115101,Census Tract 1151.01; Los Angeles County; California,2930,40,15,774,0,604,671
1400000U,6037115103,Census Tract 1151.03; Los Angeles County; California,1191,254,9,597,4,266,285
1400000U,6037115104,Census Tract 1151.04; Los Angeles County; California,1597,579,143,936,0,854,295
1400000U,6037115202,Census Tract 1152.02; Los Angeles County; California,1946,366,35,985,52,1823,827
1400000U,6037115203,Census Tract 1152.03; Los Angeles County; California,762,80,24,412,0,382,269
1400000U,6037115204,Census Tract 1152.04; Los Angeles County; California,1490,645,0,520,0,982,316
1400000U,6037115301,Census Tract 1153.01; Los Angeles County; California,1912,102,0,1248,0,707,469
1400000U,6037115302,Census Tract 1153.02; Los Angeles County; California,580,106,220,414,0,2264,255
1400000U,6037115401,Census Tract 1154.01; Los Angeles County; California,2230,433,0,1019,0,1400,555
1400000U,6037115403,Census Tract 1154.03; Los Angeles County; California,872,167,0,346,0,1530,464
1400000U,6037115404,Census Tract 1154.04; Los Angeles County; California,634,131,0,552,0,892,410
1400000U,6037117101,Census Tract 1171.01; Los Angeles County; California,1532,398,0,1686,0,1173,444
1400000U,6037117102,Census Tract 1171.02; Los Angeles County; California,854,79,5,296,0,917,276
1400000U,6037117201,Census Tract 1172.01; Los Angeles County; California,933,108,26,625,0,1822,594
1400000U,6037117202,Census Tract 1172.02; Los Angeles County; California,955,159,45,747,0,270,642
1400000U,6037117301,Census Tract 1173.01; Los Angeles County; California,1654,165,14,366,0,852,757
1400000U,6037117302,Census Tract 1173.02; Los Angeles County; California,2228,284,18,1129,0,609,682
1400000U,6037117303,Census Tract 1173.03; Los Angeles County; California,1574,36,0,839,0,1035,678
1400000U,6037117404,Census Tract 1174.04; Los Angeles County; California,1669,312,99,756,0,1539,841
1400000U,6037117405,Census Tract 1174.05; Los Angeles County; California,352,29,0,32,0,1926,709
1400000U,6037117407,Census Tract 1174.07; Los Angeles County; California,338,39,68,50,0,2260,430
1400000U,6037117408,Census Tract 1174.08; Los Angeles County; California,323,230,58,169,0,1360,365
1400000U,6037117510,Census Tract 1175.10; Los Angeles County; California,630,291,47,192,0,1902,728
1400000U,6037117520,Census Tract 1175.20; Los Angeles County; California,505,73,55,216,0,2485,1011
1400000U,6037117530,Census Tract 1175.30; Los Angeles County; California,1002,205,60,784,0,2666,1024
1400000U,6037119001,Census Tract 1190.01; Los Angeles County; California,1083,18,36,908,16,1133,1089
1400000U,6037119003,Census Tract 1190.03; Los Angeles County; California,1085,7,67,292,0,999,882
1400000U,6037119004,Census Tract 1190.04; Los Angeles County; California,942,0,0,213,0,1038,566
1400000U,6037119201,Census Tract 1192.01; Los Angeles County; California,652,37,113,190,0,1813,1171
1400000U,6037119202,Census Tract 1192.02; Los Angeles County; California,1194,4,120,334,0,2008,1014
1400000U,6037119310,Census Tract 1193.10; Los Angeles County; California,937,161,24,581,0,1499,565
1400000U,6037119320,Census Tract 1193.20; Los Angeles County; California,648,161,42,613,0,2609,219
1400000U,6037119340,Census Tract 1193.40; Los Angeles County; California,405,118,62,90,0,2673,400
1400000U,6037119341,Census Tract 1193.41; Los Angeles County; California,291,70,58,693,27,1367,238
1400000U,6037119342,Census Tract 1193.42; Los Angeles County; California,459,25,43,525,0,1315,424
1400000U,6037119400,Census Tract 1194; Los Angeles County; California,1308,65,0,408,0,2119,750
1400000U,6037119700,Census Tract 1197; Los Angeles County; California,1297,0,66,1290,0,1041,720
1400000U,6037119801,Census Tract 1198.01; Los Angeles County; California,557,1,1,354,0,1336,453
1400000U,6037119802,Census Tract 1198.02; Los Angeles County; California,658,49,49,441,30,1246,621
1400000U,6037119900,Census Tract 1199; Los Angeles County; California,1011,67,0,507,0,2342,576
1400000U,6037120010,Census Tract 1200.10; Los Angeles County; California,238,36,0,225,0,1900,244
1400000U,6037120020,Census Tract 1200.20; Los Angeles County; California,669,105,13,841,28,1913,404
1400000U,6037120030,Census Tract 1200.30; Los Angeles County; California,346,16,14,142,0,2029,29
1400000U,6037120103,Census Tract 1201.03; Los Angeles County; California,236,81,70,52,0,2257,183
1400000U,6037120104,Census Tract 1201.04; Los Angeles County; California,326,195,58,434,0,1379,211
1400000U,6037120105,Census Tract 1201.05; Los Angeles County; California,359,36,52,325,0,1490,493
1400000U,6037120106,Census Tract 1201.06; Los Angeles County; California,246,22,60,510,34,3048,362
